Balikesirspor;Sivasspor;KayseriErciyesspor;Fenerbahce;IstanbulBasaksehir;Kasimpasa;Karabukspor;Trabzonspor;Gaziantepspor;MersinIdmanYurdu;Konyaspor;Galatasaray;Genclerbirligi;Besiktas;CaykurRizespor;Bursaspor;Eskisehirspor
AkhisarBelediyespor;Konyaspor;Galatasaray;Genclerbirligi;Besiktas;CaykurRizespor;Bursaspor;Eskisehirspor;MersinIdmanYurdu;Sivasspor;KayseriErciyesspor;Fenerbahce;IstanbulBasaksehir;Kasimpasa;Karabukspor;Trabzonspor;Gaziantepspor
MersinIdmanYurdu;CaykurRizespor;Bursaspor;Eskisehirspor;Balikesirspor;Sivasspor;KayseriErciyesspor;Fenerbahce;IstanbulBasaksehir;Kasimpasa;Karabukspor;Trabzonspor;Gaziantepspor;AkhisarBelediyespor;Konyaspor;Galatasaray;Genclerbirligi
Galatasaray;Genclerbirligi;Besiktas;CaykurRizespor;MersinIdmanYurdu;Eskisehirspor;Balikesirspor;Sivasspor;KayseriErciyesspor;Fenerbahce;IstanbulBasaksehir;Kasimpasa;Karabukspor;Trabzonspor;Gaziantepspor;AkhisarBelediyespor;Konyaspor
Genclerbirligi;Besiktas;MersinIdmanYurdu;Bursaspor;Eskisehirspor;Balikesirspor;Sivasspor;KayseriErciyesspor;Fenerbahce;IstanbulBasaksehir;Kasimpasa;Karabukspor;Trabzonspor;Gaziantepspor;AkhisarBelediyespor;Konyaspor;Galatasaray
Konyaspor;Galatasaray;Genclerbirligi;Besiktas;CaykurRizespor;Bursaspor;MersinIdmanYurdu;Balikesirspor;Sivasspor;KayseriErciyesspor;Fenerbahce;IstanbulBasaksehir;Kasimpasa;Karabukspor;Trabzonspor;Gaziantepspor;AkhisarBelediyespor
Karabukspor;Trabzonspor;Gaziantepspor;AkhisarBelediyespor;Konyaspor;Galatasaray;Genclerbirligi;Besiktas;CaykurRizespor;Bursaspor;Eskisehirspor;Balikesirspor;Sivasspor;KayseriErciyesspor;MersinIdmanYurdu;IstanbulBasaksehir;Kasimpasa
Bursaspor;Eskisehirspor;Balikesirspor;Sivasspor;KayseriErciyesspor;Fenerbahce;IstanbulBasaksehir;Kasimpasa;Karabukspor;Trabzonspor;Gaziantepspor;AkhisarBelediyespor;Konyaspor;MersinIdmanYurdu;Genclerbirligi;Besiktas;CaykurRizespor
Sivasspor;KayseriErciyesspor;Fenerbahce;IstanbulBasaksehir;Kasimpasa;Karabukspor;Trabzonspor;MersinIdmanYurdu;AkhisarBelediyespor;Konyaspor;Galatasaray;Genclerbirligi;Besiktas;CaykurRizespor;Bursaspor;Eskisehirspor;Balikesirspor
CaykurRizespor;Bursaspor;Eskisehirspor;Balikesirspor;Sivasspor;KayseriErciyesspor;Fenerbahce;IstanbulBasaksehir;Kasimpasa;Karabukspor;Trabzonspor;Gaziantepspor;AkhisarBelediyespor;Konyaspor;Galatasaray;MersinIdmanYurdu;Besiktas
Kasimpasa;Karabukspor;Trabzonspor;Gaziantepspor;AkhisarBelediyespor;Konyaspor;Galatasaray;Genclerbirligi;Besiktas;CaykurRizespor;Bursaspor;Eskisehirspor;Balikesirspor;Sivasspor;KayseriErciyesspor;Fenerbahce;MersinIdmanYurdu
Fenerbahce;IstanbulBasaksehir;Kasimpasa;MersinIdmanYurdu;Trabzonspor;Gaziantepspor;AkhisarBelediyespor;Konyaspor;Galatasaray;Genclerbirligi;Besiktas;CaykurRizespor;Bursaspor;Eskisehirspor;Balikesirspor;Sivasspor;KayseriErciyesspor
IstanbulBasaksehir;MersinIdmanYurdu;Karabukspor;Trabzonspor;Gaziantepspor;AkhisarBelediyespor;Konyaspor;Galatasaray;Genclerbirligi;Besiktas;CaykurRizespor;Bursaspor;Eskisehirspor;Balikesirspor;Sivasspor;KayseriErciyesspor;Fenerbahce
Trabzonspor;Gaziantepspor;AkhisarBelediyespor;Konyaspor;Galatasaray;Genclerbirligi;Besiktas;CaykurRizespor;Bursaspor;Eskisehirspor;Balikesirspor;Sivasspor;MersinIdmanYurdu;Fenerbahce;IstanbulBasaksehir;Kasimpasa;Karabukspor
Eskisehirspor;Balikesirspor;Sivasspor;KayseriErciyesspor;Fenerbahce;IstanbulBasaksehir;Kasimpasa;Karabukspor;Trabzonspor;Gaziantepspor;AkhisarBelediyespor;MersinIdmanYurdu;Galatasaray;Genclerbirligi;Besiktas;CaykurRizespor;Bursaspor
Besiktas;Kasimpasa;CaykurRizespor;Karabukspor;Bursaspor;Trabzonspor;Eskisehirspor;Gaziantepspor;Balikesirspor;AkhisarBelediyespor;Sivasspor;Konyaspor;KayseriErciyesspor;Galatasaray;Fenerbahce;Genclerbirligi;IstanbulBasaksehir
Gaziantepspor;AkhisarBelediyespor;Konyaspor;Galatasaray;Genclerbirligi;Besiktas;CaykurRizespor;Bursaspor;Eskisehirspor;Balikesirspor;MersinIdmanYurdu;KayseriErciyesspor;Fenerbahce;IstanbulBasaksehir;Kasimpasa;Karabukspor;Trabzonspor
KayseriErciyesspor;Fenerbahce;IstanbulBasaksehir;Kasimpasa;Karabukspor;MersinIdmanYurdu;Gaziantepspor;AkhisarBelediyespor;Konyaspor;Galatasaray;Genclerbirligi;Besiktas;CaykurRizespor;Bursaspor;Eskisehirspor;Balikesirspor;Sivasspor
